1,BDM,Plot_id,TubeNo,NUMBERWORKERS,NUMBERQUEENS,NUMBERMALES,NUMBERLARVAE,NUMBERCOCOONS,IDENTIFIER,GENUSID,SPECIESID,DATEIDENTIFICATION,CONFIRMEDID,SPECIESIDFINAL,COMMENTSID,BARCODELABEL,PREPARATION,SPECIFICAUTHOROFRECORD,SPECIFYEVENT,PROJECT,DIGITIZEDBY,DIGITIZEDDATE,X24,identified,COMMENTSqc,TypeOfSample,TypeOfOpen,Categorie,mixedForest,X,Y,lat,lon,FixTimeGPS,bio1_tmean_8110,bio2_dr_8110,bio1_tmean_8110_8111,bio2_dr_8110_8111,bio5_tmaxw_8110,bio6_tminc_8110,bio7_tar_8110,bio8_twetq_8110,bio9_tdryq_8110,bio10_twarmq_8110,bio11_tcoldq_8110,bio12_p_8110,bio13_pwet_8110,bio14_pdry_8110,bio15_ps_8110,bio16_pwetq_8110,bio17_pdryq_8110,bio18_pwarmq_8110,bio19_pcoldq_8110,mnt25,slope25,topo,south,gt_ch_100,LU18_46cl,LC18_27cl,propArea,region,el_mean,el_median,el_stdev,el_min,el_max,el_range,MAT_mean,MAT_median,TAR_mean,TAR_median,Tmin_mean,Tmin_median,Tmax_mean,Tmax_median,BDM_id,Date,Sample_date,SoilTemp,SoilTempAnomaly,Grass,Forb,Shrub,Bare,Litter,Moss,Plot_id_orig,SoilTempSiteMean,geometry,nPlots,el_plot,slope_plot
118,57201203,410102,9990010,10,NA,NA,NA,NA,TS,Formica,Form_fusc,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,NA,soil,other,Autre,0,572152.3741,120409.6179,46.235788,7.078535,NA,474,778,3292,58948,1767,-597,2364,1210,4,1210,-136,172733,17730,12269,1320,51359,38075,51359,40149,1862.7,26.35571,32,39,7,301,44,0.499795453,Alps,1880.315345,1855,182.8106172,1557,2250,693,23.5,23.5,268,268,-100.5,-100.5,167.5,167.5,41,20190717,17.07.2019,14.1,1.839130435,4,2,2,2,1,1,410102,12.26086957,"c(787965.62044465, 5818203.20417657)",23,1850,26.27690506
662,509158,351200,9990011,NA,NA,NA,NA,NA,Lebas,Formica,pressilabris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,transect,NA,PrairieSeche,0,508952.7263,158463.3267,46.572517,6.25175,05.07.19 08:22,566,704,3018,60618,1851,-483,2334,274,1294,1328,-57,199871,20547,14244,1110,56813,44955,45578,53194,1326.3,3.366378,-26,80,19,242,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05.07.2019,,,,,,,,,NA,NA,"c(NA, NA)",NA,NA,NA
247,575126,30102,9990012,10,NA,NA,NA,NA,NA,Tetramorium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,soil,lawn,Autre,0,575675.3247,126499.0819,46.290709,7.123892,NA,469,835,3436,59163,1791,-639,2430,1206,-3,1206,-144,186316,19010,12961,1339,55263,40570,55263,44084,1664.7,42.71038,2,99,19,421,21,0.520297669,Alps,1629.718954,1588,198.1879005,1349,2050,701,42.22131623,37.5,269.4097201,269,-82.64046109,-87,186.1723127,181.5,3,20190715,15.07.2019,13.7,-0.126086957,3,3,0,2,0,0.1,30102,13.82608696,"c(793034.273830844, 5827066.38979079)",23,1672,50.78305435
64,539158,130500,9990013,10,NA,NA,NA,NA,Galkowski,Myrmica,Myrm_rugi,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrmica,NA,transect,NA,ForetFeuillus,100,539413.0551,158327.7351,46.574754,6.64913,NA,969,726,2907,66121,2374,-124,2498,1612,520,1796,302,125182,12333,7286,1525,34675,25393,34114,27746,763.9,3.844548,3,86,3,301,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01.07.2019,,,,,,,,,NA,NA,"c(NA, NA)",NA,NA,NA
776,545190,191301,9990014,NA,NA,NA,NA,NA,TS,Solenopsis,Sole_fuga,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Solenopsis,NA,soil,NA,transport,79,545748.4823,190176.0899,46.861812,6.72801,NA,837,827,3166,66107,2285,-326,2611,460,399,1659,166,118751,11355,8436,830,31974,26133,30079,29958,563.6,14.10851,3,76,19,122,11,0.051058553,Low,629.0956123,652,71.86085861,466,752,286,97.5,97.5,262.5,262.5,-23.5,-23.5,239,239,19,20190730,30.07.2019,23.6,4.633333333,2,2,1,4,2,0.1,191301,18.96666667,"c(748960.038081103, 5919550.23622735)",24,562,30.77028656
173,521166,280501,9990015,2,NA,NA,NA,NA,TS,Temnothorax,Temn_nyla,2019,oui (Salata),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temnothorax,NA,soil,NA,ForetFeuillus,100,521924.6477,165941.596,46.641432,6.419696,NA,822,770,3043,65230,2223,-308,2531,462,374,1636,167,129905,12988,9458,963,36268,29240,31012,32770,734.8,5.012427,-7,57,19,221,21,0.008440015,Low,796.0710963,791,31.99089772,728,878,150,86.59612297,87.5,261.8997885,262,-33.40387703,-32.5,228.4845607,229.5,28,20190720,20.07.2019,19.8,-1.821428571,4,2,2,2,5,1,280501,21.62142857,"c(714558.105897874, 5883778.23158808)",25,743,9.659572601
649,503150,340100,9990016,NA,NA,NA,NA,NA,NA,Coptoformica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,transect,pasture,Autre,0,503221.5049,150606.9265,46.501039,6.178639,08.07.19 09:40,582,676,2954,60210,1852,-437,2289,288,109,1340,-36,191273,18332,13564,923,53536,43316,45357,48084,1269.2,8.136874,-22,93,19,242,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08.07.2019,,,,,,,,,NA,NA,"c(NA, NA)",NA,NA,NA
171,521166,280501,9990017,1,NA,NA,NA,NA,Salata,Temnothorax,Temn_nyla,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temnothorax,NA,tree,NA,ForetFeuillus,100,521926.4961,165940.3554,46.641421,6.419721,NA,822,770,3043,65230,2223,-308,2531,462,374,1636,167,129905,12988,9458,963,36268,29240,31012,32770,734.8,5.012427,-7,57,19,221,21,0.008440015,Low,796.0710963,791,31.99089772,728,878,150,86.59612297,87.5,261.8997885,262,-33.40387703,-32.5,228.4845607,229.5,28,20190720,20.07.2019,19.8,-1.821428571,4,2,2,2,5,1,280501,21.62142857,"c(714558.105897874, 5883778.23158808)",25,743,9.659572601
172,521166,280501,9990017.B,1,NA,NA,NA,NA,TS,Lasius,Lasi_brun,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lasius,NA,tree,NA,ForetFeuillus,100,521926.4961,165940.3554,46.641421,6.419721,NA,822,770,3043,65230,2223,-308,2531,462,374,1636,167,129905,12988,9458,963,36268,29240,31012,32770,734.8,5.012427,-7,57,19,221,21,0.008440015,Low,796.0710963,791,31.99089772,728,878,150,86.59612297,87.5,261.8997885,262,-33.40387703,-32.5,228.4845607,229.5,28,20190720,20.07.2019,19.8,-1.821428571,4,2,2,2,5,1,280501,21.62142857,"c(714558.105897874, 5883778.23158808)",25,743,9.659572601
975,58041300,440100,9990018,NA,NA,NA,NA,NA,TS,Formica,Form_rufa,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,NA,transect,pasture,Autre,0,580570.1518,130768.8818,46.329282,7.187239,11.07.19 09:20,386,830,3425,59204,1702,-722,2424,1122,-88,1122,-228,228401,22816,15173,1301,66925,49798,66925,55557,1991.9,37.35701,-166,100,21,421,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.07.2019,,,,,,,,,NA,NA,"c(NA, NA)",NA,NA,NA
110,575142,71401,9990019,10,NA,NA,NA,NA,TS,Formica,Form_cine,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,NA,soil,NA,zalluviale,0,575735.9093,142536.8902,46.434997,7.12384,NA,666,1048,3684,66497,2194,-652,2846,1482,217,1482,-8,148791,14731,10072,1267,43609,32155,43609,35323,1064.1,5.193863,-127,100,3,242,47,0.040173695,Alps,1191.383078,1190,77.84300952,1065,1383,318,64.5,64.5,269.5,269.5,-60,-60,208.5,208.5,7,20190716,16.07.2019,24.1,7.424,2,3,1,4,0.1,0.1,71401,16.676,"c(793023.153865813, 5850334.96729111)",25,1085,5.639439583
177,521166,280102,9990020,10,NA,NA,NA,NA,NA,Lasius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,soil,meadow,Autre,0,521143.063,165968.6311,46.641584,6.409483,NA,756,773,3073,64471,2138,-378,2516,410,302,1560,105,137763,13929,10081,982,38588,31366,32476,35214,794.9,3.187054,-13,6,3,221,21,0.717304988,Low,796.0710963,791,31.99089772,728,878,150,86.59612297,87.5,261.8997885,262,-33.40387703,-32.5,228.4845607,229.5,28,20190720,20.07.2019,21.4,-0.221428571,5,0,0,0,0,0,280102,21.62142857,"c(713493.189846446, 5883872.58916115)",25,790,10.6632309
264,503150,340112,9990021,10,NA,NA,NA,NA,Galkowski,Myrmica,Myrm_scab,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrmica,NA,soil,pasture,Autre,0,503748.6284,150795.6648,46.502813,6.185467,08.07.19 13:13,582,678,2959,60251,1854,-438,2292,289,110,1341,-36,191950,18382,13580,916,53650,43508,45591,48310,1264.8,4.093572,-28,83,19,242,21,0.508120001,Jura,1275.360892,1275,25.03325228,1194,1343,149,59.5,59.5,259,259,-58.5,-58.5,199.5,199.5,34,20190708,08.07.2019,15.6,-1.541176471,3,3,0,0.1,0,1,340112,17.14117647,"c(688563.270569066, 5861300.97943894)",25,1285,9.156915665
725,509158,350111,9990022,NA,NA,NA,NA,NA,TS,Formica,Form_lema,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,NA,soil,pasture,Autre,0,509929.6201,157904.4613,46.567622,6.264602,NA,545,688,2993,59941,1814,-486,2300,262,1269,1300,-72,195244,20018,13628,1090,55598,44562,45222,51497,1384.4,15.353,-25,82,19,242,21,0.551611919,Jura,1351.543379,1349,17.48633546,1314,1416,102,53.5,53.5,258,258,-63.5,-63.5,194,194,35,20190705,05.07.2019,21.3,3.636,3,3,0,0.1,0,0.1,350111,17.664,"c(697375.216295877, 5871778.98519688)",25,1391,7.273205757
419,57781263,421204,9990023,10,NA,NA,NA,NA,TS,Manica,Mani_rubi,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manica,NA,soil,NA,PrairieSeche,0,578166.6312,126986.824,46.295183,7.156201,NA,358,754,3274,57421,1610,-692,2302,1074,-122,1074,-239,202821,20444,13552,1335,59779,43995,59779,48947,1815.7,21.13785,-150,100,7,242,21,0.230627652,Alps,1859.580834,1873,68.67552848,1671,2072,401,21.5,21.5,267.5,267.5,-102.5,-102.5,165,165,42,20190805,05.08.2019,17,1.05,4,2,3,2,1,1,421204,15.95,"c(796621.823418687, 5827782.18105082)",24,1821,13.96986675
922,515166,300413,9990024,NA,NA,NA,NA,NA,TS,Formica,Form_lugubris/paralugubris,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,NA,soil,pasture,ForetConifere,0,515140.6492,166362.2908,46.644388,6.331012,NA,592,750,3114,61664,1909,-499,2408,288,1326,1365,-40,177646,18535,12732,1139,50338,39423,40027,47750,1277,9.225758,39,13,19,242,47,0.509561744,Jura,1288.146325,1294,25.98983207,1174,1341,167,58.5,58.5,258,258,-59,-59,199,199,30,20190725,25.07.2019,,,3,3,2,1,0,1,300413,NaN,"c(704766.958813359, 5884222.86986873)",25,1288,11.87867069
672,509158,350109,9990025,NA,NA,NA,NA,NA,Lebas,Formica,pressilabris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,soil,pasture,Autre,0,509236.4171,157884.8596,46.567352,6.255565,NA,552,694,3002,60144,1827,-484,2311,266,1277,1309,-66,197795,20280,13949,1093,56224,44820,45430,52474,1343.1,7.694271,-30,64,19,242,47,0.551611919,Jura,1351.543379,1349,17.48633546,1314,1416,102,53.5,53.5,258,258,-63.5,-63.5,194,194,35,20190705,05.07.2019,15.2,-2.464,2,3,0,0.1,0,0.1,350109,17.664,"c(696367.02858844, 5871739.1817577)",25,1357,8.591593742
95,575142,70111,9990026,7,NA,NA,NA,NA,Galkowski,Myrmica,Myrm_rubr,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrmica,NA,soil,pasture,Autre,0,575304.002,142238.9734,46.432301,7.118236,NA,618,1010,3670,64664,2103,-650,2753,1414,163,1414,-42,150294,14862,10168,1273,44091,32485,44091,35717,1213.3,14.04623,-74,13,3,241,21,0.458585505,Alps,1191.383078,1190,77.84300952,1065,1383,318,64.5,64.5,269.5,269.5,-60,-60,208.5,208.5,7,20190716,16.07.2019,17.7,1.024,5,0.1,0,1,0,1,70111,16.676,"c(792394.731784265, 5849895.92459159)",25,1215,13.12768173
54,57711503,430100,9990027,15,NA,NA,NA,NA,NA,Formica SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,transect,pasture,Autre,0,577811.3796,150693.2457,46.508449,7.150456,NA,398,758,3318,56610,1634,-652,2286,1105,-78,1105,-192,150826,15379,9592,1396,44332,32490,44332,37124,1704,33.58692,60,92,19,242,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09.07.2019,,,,,,,,,NA,NA,"c(NA, NA)",NA,NA,NA
135,569134,50101,9990028,8,NA,NA,NA,NA,Galkowski,Myrmica,Myrm_rubr,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrmica,NA,soil,pasture,Autre,78,569457.5569,134083.9531,46.358693,7.042699,NA,613,852,3427,61043,1974,-511,2485,1374,154,1374,-13,156037,15869,10884,1247,45754,34169,45754,36750,1084.5,27.56653,-62,93,17,222,21,0.294363621,Alps,1202.197174,1176,130.3389701,929,1466,537,62.5,62.5,269.5,269.5,-62.5,-62.5,207,207,5,20190718,18.07.2019,21.8,4.441666667,4,3,0,0.1,0,0,50101,17.35833333,"c(783990.356852262, 5838019.28222283)",24,1079,21.47165298
151,569134,51502,9990029,10,NA,NA,NA,NA,NA,Tapinoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,soil,pasture,ZoneConstruite,0,569459.6644,133967.646,46.357647,7.042734,NA,624,851,3423,61178,1986,-500,2486,1386,165,1386,-4,152996,15622,10723,1267,45008,33455,45008,35841,1059.8,9.778934,-54,97,3,223,21,0.065810357,Alps,1202.197174,1176,130.3389701,929,1466,537,62.5,62.5,269.5,269.5,-62.5,-62.5,207,207,5,20190718,18.07.2019,24.8,7.441666667,4,3,0,0.1,0,0,51502,17.35833333,"c(783991.409165531, 5837845.82083721)",24,1050,2.718456984
51,57711503,431202,9990030,5,NA,NA,NA,NA,NA,Tetramorium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,soil,NA,PrairieSeche,0,577612.6631,150511.3053,46.506805,7.147875,09.07.19 12:15,412,774,3348,57005,1663,-650,2313,1123,-63,1123,-181,151040,15339,9577,1386,44163,32639,44163,37413,1683.8,28.78572,35,34,19,242,21,0.226169544,Alps,1759.432705,1766,116.4568231,1411,1990,579,32,32,264.5,264.5,-90,-90,174.5,174.5,43,20190709,09.07.2019,25.8,5.486956522,3,4,0.1,2,3,0,431202,20.31304348,"c(795700.015397441, 5861942.99017755)",23,1687,28.22807312
68,57711503,431200,9990031,10,NA,NA,NA,NA,NA,Formica SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,transect,NA,PrairieSeche,0,577135.1695,150422.137,46.505987,7.141658,09.07.19 09:24,370,702,3198,55345,1558,-636,2194,1063,-108,1063,-206,149506,15225,9546,1389,43945,32217,43945,36751,1952.5,17.76696,134,41,19,243,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09.07.2019,,,,,,,,,NA,NA,"c(NA, NA)",NA,NA,NA
55,57711503,430100,9990032,10,NA,NA,NA,NA,TS,Formica,Form_lugubris/paralugubris,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,NA,transect,pasture,Autre,0,577630.9063,150461.0762,46.506354,7.148115,09.07.19 12:29,414,779,3357,57113,1670,-651,2321,1127,-60,1127,-180,150977,15335,9578,1386,44161,32617,44161,37375,1670.4,28.72866,25,18,19,421,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09.07.2019,,,,,,,,,NA,NA,"c(NA, NA)",NA,NA,NA
237,575126,30107,9990033,10,NA,NA,NA,NA,Galkowski,Myrmica,Myrm_rugi,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrmica,NA,soil,lawn,Autre,0,575738.5528,126472.0546,46.290468,7.124714,NA,473,837,3441,59212,1796,-637,2433,1210,0,1210,-141,186832,19057,12981,1339,55410,40674,55410,44230,1651.1,37.01633,3,95,19,421,47,0.520297669,Alps,1629.718954,1588,198.1879005,1349,2050,701,42.22131623,37.5,269.4097201,269,-82.64046109,-87,186.1723127,181.5,3,20190715,15.07.2019,12.2,-1.626086957,3,4,1,0.1,1,0,30107,13.82608696,"c(793122.527992493, 5827013.83707725)",23,1628,23.792799
66,57711503,431200,9990034,10,NA,NA,NA,NA,NA,Formica SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,transect,NA,PrairieSeche,0,577204.2152,150434.3082,46.506099,7.142557,09.07.19 09:28,372,706,3208,55432,1563,-637,2200,1066,-106,1066,-205,149948,15255,9554,1387,43998,32344,43998,36953,1930.1,17.93124,161,34,19,243,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09.07.2019,,,,,,,,,NA,NA,"c(NA, NA)",NA,NA,NA
20,539158,130502,9990035,5,NA,NA,NA,NA,Galkowski,Myrmica,Myrm_rugi,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrmica,NA,soil,NA,ForetFeuillus,88,539436.0777,158566.9569,46.576908,6.649399,NA,955,729,2920,66011,2358,-138,2496,1596,506,1780,290,125254,12340,7288,1524,34687,25406,34126,27769,780.2,2.908331,16,85,3,301,41,NA,Low,772.2057106,775,20.7170266,711,819,108,88.5,88.5,265.5,265.5,-34.25,-34,231.5,231.5,13,20190701,01.07.2019,17.1,-3.096666667,2,4,2,0,5,0.1,807,20.19666667,"c(740209.274230646, 5873283.96017434)",30,774,8.162308693
82,57711503,431203,9990036,7,NA,NA,NA,NA,Galkowski,Myrmica,Myrm_scab,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrmica,NA,soil,NA,PrairieSeche,0,577374.4472,150649.334,46.508039,7.144765,09.07.19 10:33,395,745,3288,56343,1621,-644,2265,1100,-80,1100,-191,150677,15322,9567,1388,44126,32542,44126,37259,1787.3,25.44283,52,8,19,242,21,0.226169544,Alps,1759.432705,1766,116.4568231,1411,1990,579,32,32,264.5,264.5,-90,-90,174.5,174.5,43,20190709,09.07.2019,20.1,-0.213043478,3,5,0.1,2,1,0,431203,20.31304348,"c(795353.87928918, 5862143.1014439)",23,1799,27.394804
