BDM,region,el_mean,el_median,el_stdev,el_min,el_max,el_range,MAT_mean,MAT_median,TAR_mean,TAR_median,Tmin_mean,Tmin_median,Tmax_mean,Tmax_median,BDM_id,Sample_date,n_plots,SoilTemp_mean,SoilTemp_sd,Grass_mean,Grass_sd,Forb_mean,Forb_sd,Shrub_mean,Shrub_sd,Bare_mean,Bare_sd,Litter_mean,Litter_sd,Moss_mean,Moss_sd
551158,Low,639.9766822,632,31.46350512,589,710,121,96.5,96.5,267.5,267.5,-27.5,-27.5,240.5,240.5,11,2019-08-21,15,16.233333333333334,1.591794435160999,2.473333333333333,1.4454196951882505,2.8066666666666666,1.1907180706655642,0.8066666666666666,1.420496224496751,1.3466666666666667,1.0960100798980341,1.2866666666666666,1.419188232087357,0.3333333333333333,0.41690469391639595
545150,Low,708.035668,716,48.39000013,573,792,219,92.7692223,97.5,268.0862365,268.5,-31.05726865,-27,236.8369127,241.5,12,2019-08-13,24,18.808333333333334,1.634656370395736,2.875,1.3290238326779873,2.6666666666666665,1.1671841502435296,0.4583333333333333,0.7790276362049131,1.5958333333333334,0.8574376218491458,1.2583333333333333,1.5038838607640774,0.3958333333333333,0.6355272830777856
539158,Low,772.2057106,775,20.7170266,711,819,108,88.5,88.5,265.5,265.5,-34.25,-34,231.5,231.5,13,2019-07-01,30,20.196666666666665,3.2689219285129223,2.6066666666666665,2.069304952998892,1.9933333333333334,1.5743489805769488,1.6466666666666667,1.927072701120095,0.47,0.6793252230122842,3.7,1.684615990213425,0.74,1.2260393198397446
545166,Low,783.0825274,779,24.24841134,733,833,100,86.5,86.5,265,265,-35.5,-35.5,229,229,14,2019-08-30,25,18.795652173913044,1.4366875604128615,2.644,1.571114254279427,2.28,0.9363047936792093,0.52,1.4753530650887152,1.604,1.149086593777858,1.124,1.6384138671288155,0.66,0.6177917664283546
551174,Low,754.1431385,757,23.1352584,692,805,113,88.89286945,90,264.4204414,265,-33.13112985,-32,231.7712708,232.5,15,2019-07-23,25,22.807692307692307,4.173819501460171,3.208,2.108893864881145,1.08,1.2556538801224908,0.56,1.044030650891055,0.804,0.9541488353501251,1.8,1.848422751068236,0.184,0.4660829682935575
563190,Low,437.3816489,437,4.872778648,426,450,24,106,106,265,265,-16,-16,249,249,16,2019-09-04,22,17.94761904761905,1.5091782689990763,3,1.140175425099138,2.1523809523809523,1.5769017241474015,0.47619047619047616,1.030487633067356,2.4285714285714284,1.164964745021435,1.2428571428571429,1.1741258146261109,0.15714285714285714,0.35436059116587526
569198,Low,537.8954635,536,23.62035888,483,597,114,100.603877,101,264,264,-21.39612298,-21,242.603877,243,17,2019-09-05,25,17.32,1.31021626713557,2.56,1.6603212540549697,1.684,1.3088417271261896,0.764,1.3907072541216814,2.244,1.260317420335052,2.04,1.3063945294843617,0.536,0.8625929901562305
545182,Low,460.9502262,459,21.18043833,428,518,90,106,106,264.75,265,-15.75,-15.5,248.25,248.5,18,2019-07-26,25,23.9,3.5997075904637175,3.4,1.5275252316519468,2.044,0.9695703515819091,0.72,1.458309523615157,1.204,0.9524004759903613,0.92,1.1518101695447331,0.44,0.7118052168020874
545190,Low,629.0956123,652,71.86085861,466,752,286,97.5,97.5,262.5,262.5,-23.5,-23.5,239,239,19,2019-07-30,24,18.96666666666667,2.974042288911152,1.5916666666666666,1.8322987858369906,1.5166666666666666,1.396164518356931,1.5,1.318760946791574,2.0458333333333334,1.152682756109366,2.75,1.5673294928413855,0.9,0.8240937050982787
539190,Jura,1227.157895,1249,86.08079935,990,1350,360,61.07607212,58.5,258.037159,257.5,-57.05416964,-59.5,200.841772,197.5,20,2019-07-24,25,NaN,NA,1.404,1.6549118808363583,1.92,0.7593857166596345,0.764,1.1975252258999252,1.164,0.7398648525237566,3.48,1.8284784202536637,0.652,0.9874715185766119
533190,Jura,1405.22846,1409,23.71865169,1327,1457,130,49,49,256,256,-68,-68,188,188,21,2019-08-26,25,16.370833333333334,2.56268866396326,2.76,1.2342339054382412,2.84,1.0279429296739515,0.884,1.0892199043352082,2.008,0.9402659198333203,0.968,0.8802083086785006,0.872,1.0014655926857063
533182,Low,525.7249022,527,11.10058048,488,557,69,102,102,263,263,-19,-19,243.5,243.5,22,2019-08-02,25,19.84,2.1437894797142127,2.084,1.700901721636693,1.968,1.121650569473399,0.76,1.588500340992514,2.524,1.4683550887529442,1.324,1.6978613999185368,0.532,0.7625177593560253
527182,Jura,1216.433914,1221,78.54291609,1058,1455,397,60.1180355,58.5,257.558369,257.5,-57.64437606,-59,200.102422,198.5,23,2019-07-22,25,16.315384615384616,1.7290875020494458,2.56,1.4742229591663987,2.4,1,0.524,0.7677239087067694,1.848,1.1299410014096607,1.64,1.6041612554021285,0.38,0.7483314773547883
527174,Low,624.2417369,628,17.69400073,579,661,82,96.5,96.5,262.5,262.5,-23.5,-23.5,239,239,24,2019-09-03,25,16.612000000000002,2.0168705131134885,2.164,2.110860803874413,1.248,1.5011440081928626,1,1.6072751268321592,1.44,1.2609520212918492,2.24,1.8321208111548393,0.696,0.9338450977901349
539174,Low,620.8901961,615,19.5979116,589,668,79,96.04017377,96.5,264,264,-25.04276216,-24.5,238.8220506,239,25,2019-08-09,25,20.264,1.09158905576534,2.92,1.5253414918196733,2.44,1.1575836902790226,0.244,0.8784835418682204,1.692,1.0499682534883297,1.052,1.5050249167372611,0.128,0.3297979179234864
533166,Low,591.3564935,592,7.464343164,564,612,48,98.99091134,99,264.9248902,265,-22.91899648,-23,241.427999,241.5,26,2019-08-11,24,20.291666666666668,1.7029173603648193,2.625,1.0959411282189109,2.5,1.2158375177486576,0.7541666666666667,1.5373549183345843,1.3375,1.1623860392949608,1.125,1.5126280039259057,0.42083333333333334,0.7150428182172436
527158,Low,488.1319764,484,16.51872677,465,537,72,105.5,105.5,266,266,-16.5,-16.5,248.5,248.5,27,2019-07-31,25,20.6375,1.0462406822607266,3,1.4719601443879744,2.248,1.2530363123229908,0.6,1.1902380714238083,2.008,1.341926475879609,0.888,1.1955891155967142,0.3,0.5322906474223771
521166,Low,796.0710963,791,31.99089772,728,878,150,86.59612297,87.5,261.8997885,262,-33.40387703,-32.5,228.4845607,229.5,28,2019-07-20,25,21.62142857142857,2.686484282886799,3.8333333333333335,1.4345630047135447,1.6666666666666667,1.551063216458077,0.3375,0.9617974567579637,0.6875,0.9488265063384532,1.2583333333333333,1.5882494237002127,0.13333333333333333,0.33578806290338226
521174,Low,747.6990033,748,63.61527141,628,874,246,86.16627175,85.5,260.5602484,260.5,-33.27200067,-33.5,227.1662718,226.5,29,2019-07-29,24,16.78333333333333,1.8464223141846072,1.4708333333333334,1.630011780876783,1.5083333333333333,1.240938167771418,1.9166666666666667,1.176459931750543,1.7166666666666666,0.9845178324026643,2.5458333333333334,1.9275980021703214,1.4291666666666667,1.042771877452493
515166,Jura,1288.146325,1294,25.98983207,1174,1341,167,58.5,58.5,258,258,-59,-59,199,199,30,2019-07-25,25,NaN,NA,1.772,1.5482570845954493,2.284,0.9702576977277738,1.208,1.2168675633225936,1.88,0.7810249675906654,2.12,1.589549202342182,1.644,0.7483760195694853
515158,Jura,1123.067194,1135,120.3658431,828,1326,498,67.63312822,65,260.1937915,259.5,-51.38996511,-54,208.8622942,205.5,31,2019-08-27,25,15.452,1.8177641944616103,0.932,1.3434160437729878,0.844,0.9832259828408387,1.084,1.218496341124311,2.04,1.019803902718557,3.36,1.5242484486898233,1.128,1.1939151281951885
521150,Low,509.8735099,508,11.99395103,489,550,61,104.5,104.5,266,266,-18,-18,247.5,247.5,32,2019-08-23,25,18.692,0.9861203442447244,3.24,0.9695359714832658,2.764,1.0411852220746636,0.208,0.7052895386529799,1.292,1.3585899553090575,1.044,1.1683606749059412,0.22,0.4
509150,Low,909.3431373,912,24.64080325,846,965,119,80.75,80.5,261.5,261.5,-39,-39,222.75,222.5,33,2019-08-19,25,18.483999999999998,1.2621674479508123,3.324,1.335190373442429,2.4,1.2909944487358056,0.64,1.2543258481484518,1.18,1.1944315244779278,0.652,0.9443339804680687,0.416,0.5669215113223347
503150,Jura,1275.360892,1275,25.03325228,1194,1343,149,59.5,59.5,259,259,-58.5,-58.5,199.5,199.5,34,2019-07-08,25,17.141176470588235,3.3511301868790127,2.2142857142857144,1.659604083595155,2.8095238095238093,1.0779168622415933,0.7285714285714285,0.9970671277014688,0.9238095238095239,0.7455902104405354,0.9047619047619048,1.5461164867099084,0.7857142857142857,0.8684962373468951
509158,Jura,1351.543379,1349,17.48633546,1314,1416,102,53.5,53.5,258,258,-63.5,-63.5,194,194,35,2019-07-05,25,17.664,3.3370246228239515,3.24,1.011599393699568,3,0.9128709291752769,0.364,0.6356623841841411,0.96,1.0812801055539063,0.812,1.4075155416548693,1.38,1.3297869503545796
509166,Jura,1120.233918,1121,16.43440087,1062,1168,106,67.5,67.5,258,258,-50,-50,208,208,36,2019-08-28,25,16.992,2.0387741414879677,2.808,1.4846211637990345,2.524,1.0752054067324377,0.648,1.2165936051122412,1.364,0.8035753439058054,1.168,1.619084103230383,1.328,0.9338629449764029
503158,Jura,1082.136601,1053,56.15822913,1014,1192,178,69.83488572,68,258.839554,258,-48.16005364,-50,210.6744397,208,37,2019-08-29,25,17.62,1.9557607215607944,2.732,1.7492188732879217,2.452,1.2028161400092148,0.808,0.9936968015110713,1.404,0.9066789214858072,1.484,1.755391694181102,1.172,1.130825657060657
503142,Low,627.154911,622,26.27536093,582,706,124,97,97,263.5,263.5,-23.5,-23.5,240,240,38,2019-08-17,25,17.196,2.028439465862037,1.58,1.7635192088548397,2.184,1.5918228544659108,1.564,1.3518135966175218,2.12,1.4236104336041748,3.568,1.7170032032585147,1.74,1.312757911167681
497142,Jura,1504.497002,1466,77.06062936,1398,1709,311,46.78587707,46,257.2672338,257,-70.522107020000007,-71.5,186.9527678,186,39,2019-08-16,25,13.52,1.6494948721755194,3.2,1.6832508230603465,1.76,1.5620499351813308,0.32,0.6271629240742259,1.644,1.3453871809507725,1.044,1.6926507810728906,0.74,0.5901977069875258
57281298,Alps,1886.062581,1878,66.29249513,1746,2027,281,27,27,267,267,-97,-97,170,170,40,2019-08-31,24,13.457142857142857,2.004875010948017,2.7083333333333335,0.999093792292346,3.0833333333333335,1.017954755408103,0.85,0.9934568544930024,2.0833333333333335,0.7755316082290385,1.0125,0.9651818931976095,1.4,1.1037485535959797
57201203,Alps,1880.315345,1855,182.8106172,1557,2250,693,23.5,23.5,268,268,-100.5,-100.5,167.5,167.5,41,2019-07-17,23,12.26086956521739,2.130031824438905,2.6956521739130435,0.8221248859286776,2.869565217391304,0.8148813536665075,1.5347826086956522,1.36268741685224,1.8782608695652174,1.1653936212671316,1.017391304347826,1.0709605603098231,0.9043478260869565,0.7766350850534428
57781263,Alps,1859.580834,1873,68.67552848,1671,2072,401,21.5,21.5,267.5,267.5,-102.5,-102.5,165,165,42,2019-08-05,24,15.950000000000001,1.7029386365926404,2.2916666666666665,1.3344650993747553,2.7916666666666665,1.062366786192884,0.9208333333333333,1.279598838857631,2.425,1.755550204847224,0.24166666666666667,0.3999094100316771,0.6916666666666667,0.7395160971682865
57711503,Alps,1759.432705,1766,116.4568231,1411,1990,579,32,32,264.5,264.5,-90,-90,174.5,174.5,43,2019-07-09,23,20.31304347826087,3.6556686178424678,2.7869565217391306,1.3712318111252733,2.739130434782609,1.09616651457157,0.9217391304347826,1.3731041547394887,1.9173913043478261,1.1170790538937794,1.4782608695652173,1.6752086767540146,0.3652173913043478,0.7678829785681562
58041300,Alps,2065.408367,2065,186.2608052,1623,2577,954,7.5,7.5,265,265,-115.5,-115.5,150,150,44,2019-07-11,20,15.76875,3.1798781423192932,2.44375,2.0241767874043677,1.9375,0.8539125638299665,0.70625,1.126924280212887,3.25,1.6931233465600393,0.45625,0.7164437637851744,0.26875,0.3628015986734347
